SIP_Start_Date,Fund_House,SIP_Type,Market_Cap_Category,Monthly_Investment_₹,Investment_Tenure_Years,Expected_Return_%,Total_Amount_Invested_₹,Estimated_Maturity_Value_₹,SIP_Fund_Theory
01-01-2020,HDFC Mutual Fund,Index SIP,Mid Cap,500,10,14.09,60000,224237,Rupee Cost Averaging & Compounding over long term
31-01-2020,HDFC Mutual Fund,ELSS SIP,Small Cap,10000,13,11.04,1560000,6085734,Rupee Cost Averaging & Compounding over long term
01-03-2020,Axis Mutual Fund,Large Cap SIP,Small Cap,10000,17,11.77,2040000,13533232,Rupee Cost Averaging & Compounding over long term
31-03-2020,Axis Mutual Fund,International SIP,Mid Cap,5000,5,8.63,300000,453882,Rupee Cost Averaging & Compounding over long term
30-04-2020,HDFC Mutual Fund,Debt SIP,Small Cap,5000,3,13.09,180000,260322,Rupee Cost Averaging & Compounding over long term
30-05-2020,UTI Mutual Fund,Hybrid SIP,Mid Cap,1000,12,10.75,144000,490557,Rupee Cost Averaging & Compounding over long term
29-06-2020,UTI Mutual Fund,Equity SIP,Large Cap,3000,17,12.2,612000,4333404,Rupee Cost Averaging & Compounding over long term
29-07-2020,Axis Mutual Fund,ELSS SIP,Large Cap,10000,17,14.65,2040000,20845120,Rupee Cost Averaging & Compounding over long term
28-08-2020,HDFC Mutual Fund,Index SIP,Small Cap,2000,5,8.37,120000,179347,Rupee Cost Averaging & Compounding over long term
27-09-2020,ICICI Prudential,Hybrid SIP,Large Cap,2000,13,10.36,312000,1124104,Rupee Cost Averaging & Compounding over long term
27-10-2020,ICICI Prudential,ELSS SIP,Mid Cap,2000,7,11.13,168000,351718,Rupee Cost Averaging & Compounding over long term
26-11-2020,Aditya Birla Sun Life,ELSS SIP,Mid Cap,10000,12,10.5,1440000,4769661,Rupee Cost Averaging & Compounding over long term
26-12-2020,Aditya Birla Sun Life,Debt SIP,Small Cap,1000,8,8.79,96000,188420,Rupee Cost Averaging & Compounding over long term
25-01-2021,Aditya Birla Sun Life,Sectoral SIP,Mid Cap,5000,11,11.48,660000,2180805,Rupee Cost Averaging & Compounding over long term
24-02-2021,SBI Mutual Fund,ELSS SIP,Small Cap,10000,20,11.06,2400000,19566544,Rupee Cost Averaging & Compounding over long term
26-03-2021,UTI Mutual Fund,ELSS SIP,Mid Cap,3000,4,11.87,144000,225528,Rupee Cost Averaging & Compounding over long term
25-04-2021,Aditya Birla Sun Life,International SIP,Mid Cap,5000,3,14.98,180000,273643,Rupee Cost Averaging & Compounding over long term
25-05-2021,Nippon India,Debt SIP,Small Cap,1000,15,12.52,180000,1056732,Rupee Cost Averaging & Compounding over long term
24-06-2021,Axis Mutual Fund,International SIP,Large Cap,1000,4,11.8,48000,74992,Rupee Cost Averaging & Compounding over long term
